id,distritos_id,entidades_id,seccion,tipossecciones_id,distritosfederales_id,municipios_id
,8,32,1553,2,1,49
,8,32,1554,2,1,49
,8,32,1555,2,1,49
,8,32,1557,2,1,49
,8,32,1558,2,1,49
,8,32,1559,1,1,49
,8,32,1560,3,1,49
,8,32,1561,2,1,49
,8,32,1562,2,1,49
,8,32,1563,3,1,49
,8,32,1564,2,1,49
,8,32,1566,2,1,49
,8,32,1567,2,1,49
,8,32,1568,2,1,49
,8,32,1569,2,1,49
,8,32,1570,2,1,49
,8,32,1571,2,1,49
,8,32,1573,2,1,49
,8,32,1575,2,1,49
,8,32,1576,2,1,49
,8,32,1577,2,1,49
,8,32,1578,2,1,49
,8,32,1579,2,1,49
,8,32,1580,2,1,49
,8,32,1582,2,1,49
,8,32,1584,3,1,49
,8,32,1585,1,1,49
,8,32,1586,2,1,49
,8,32,1587,2,1,49
,8,32,1588,2,1,49
,8,32,1589,2,1,49
,8,32,1590,2,1,49
,8,32,1591,2,1,49
,8,32,1593,2,1,49
,8,32,1594,2,1,49
,8,32,1596,2,1,49
,8,32,1597,2,1,49
,8,32,1598,2,1,49
,8,32,1599,2,1,49
,8,32,1600,2,1,49
,9,32,40,3,3,5
,9,32,41,1,3,5
,9,32,42,1,3,5
